model,params,seed,epoch,train_tol,eval_tol,train_acc,train_loss,test_acc,test_loss,train_fwd_nfe,eval_fwd_nfe,recon_rel,recon_ok,gap_acc,epoch_s,hardware
NODE,173611,0,1,0.001,1e-05,0.37586,1.7698292112350464,0.4164,1.6536917358398437,19.96938775510204,38,0.000416550668887794,1,-0.040539999999999965,109.7,NVIDIA GeForce RTX 3090
NODE,173611,0,1,0.001,1e-06,0.37586,1.7698292112350464,0.4164,1.6536917358398437,19.96938775510204,62,0.00012130998948123306,1,-0.040539999999999965,109.7,NVIDIA GeForce RTX 3090
NODE,173611,0,1,0.001,1e-07,0.37586,1.7698292112350464,0.4164,1.6536917358398437,19.96938775510204,212,2.3319749743677676e-05,1,-0.040539999999999965,109.7,NVIDIA GeForce RTX 3090
NODE,173611,0,2,0.001,1e-05,0.43898,1.6082038259506226,0.4426,1.5854873552322388,20.0,38,0.001106491545215249,1,-0.003620000000000012,136.5,NVIDIA GeForce RTX 3090
NODE,173611,0,2,0.001,1e-06,0.43898,1.6082038259506226,0.4426,1.5854873552322388,20.0,80,0.00013091757136862725,1,-0.003620000000000012,136.5,NVIDIA GeForce RTX 3090
NODE,173611,0,2,0.001,1e-07,0.43898,1.6082038259506226,0.4426,1.5854873552322388,20.0,254,2.2133481252240017e-05,1,-0.003620000000000012,136.5,NVIDIA GeForce RTX 3090
NODE,173611,0,3,0.001,1e-05,0.46484,1.5162401209259033,0.4659,1.4945990394592286,20.0,44,0.0005776082398369908,1,-0.0010600000000000054,151.2,NVIDIA GeForce RTX 3090
NODE,173611,0,3,0.001,1e-06,0.46484,1.5162401209259033,0.4659,1.4945990394592286,20.0,86,0.00013201696856413037,1,-0.0010600000000000054,151.2,NVIDIA GeForce RTX 3090
NODE,173611,0,3,0.001,1e-07,0.46484,1.5162401209259033,0.4659,1.4945990394592286,20.0,236,4.490706487558782e-05,1,-0.0010600000000000054,151.2,NVIDIA GeForce RTX 3090
NODE,173611,0,4,0.001,1e-05,0.48856,1.4377809564971924,0.4732,1.4490534847259522,20.0,44,0.0005880921380594373,1,0.015359999999999985,146.2,NVIDIA GeForce RTX 3090
NODE,173611,0,4,0.001,1e-06,0.48856,1.4377809564971924,0.4732,1.4490534847259522,20.0,92,0.0002156408445443958,1,0.015359999999999985,146.2,NVIDIA GeForce RTX 3090
NODE,173611,0,4,0.001,1e-07,0.48856,1.4377809564971924,0.4732,1.4490534847259522,20.0,338,3.731014658114873e-05,1,0.015359999999999985,146.2,NVIDIA GeForce RTX 3090
NODE,173611,0,5,0.001,1e-05,0.50948,1.3743852117156983,0.4756,1.459344055557251,20.0,44,0.0008603426977060735,1,0.03388000000000002,153.7,NVIDIA GeForce RTX 3090
NODE,173611,0,5,0.001,1e-06,0.50948,1.3743852117156983,0.4756,1.459344055557251,20.0,92,0.00017352930444758385,1,0.03388000000000002,153.7,NVIDIA GeForce RTX 3090
NODE,173611,0,5,0.001,1e-07,0.50948,1.3743852117156983,0.4756,1.459344055557251,20.0,320,5.501500709215179e-05,1,0.03388000000000002,153.7,NVIDIA GeForce RTX 3090
